movie id,movie title,release date,unknown,Action,Adventure,Animation,Childrens,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,Year
20,Angels and Insects ,1-Jan-95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995
21,Muppet Treasure Island ,16-Feb-96,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1996
22,Braveheart ,16-Feb-96,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1996
23,Taxi Driver ,16-Feb-96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1996
24,Rumble in the Bronx ,23-Feb-96,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1996
25,"Birdcage, The ",8-Mar-96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
26,"Brothers McMullen, The ",1-Jan-95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
27,Bad Boys ,1-Jan-95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
28,Apollo 13 ,1-Jan-95,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1995
29,Batman Forever ,1-Jan-95,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1995
30,Belle de jour ,1-Jan-67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1967
31,Crimson Tide ,1-Jan-95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1995
32,Crumb ,1-Jan-94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1994
33,Desperado ,1-Jan-95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1995
34,"Doom Generation, The ",1-Jan-95,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995
35,Free Willy 2: The Adventure Home ,1-Jan-95,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995
36,Mad Love ,1-Jan-95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995
37,Nadja ,1-Jan-94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994
38,"Net, The ",1-Jan-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1995
39,Strange Days ,1-Jan-95,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1995
40,"To Wong Foo, Thanks for Everything! Julie Newmar ",1-Jan-95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
41,Billy Madison ,1-Jan-95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
42,Clerks ,1-Jan-94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
43,Disclosure ,1-Jan-94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1994
44,Dolores Claiborne ,1-Jan-94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1994
45,Eat Drink Man Woman ,1-Jan-94,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1994
46,Exotica ,1-Jan-94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994
47,Ed Wood ,1-Jan-94,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1994
48,Hoop Dreams ,1-Jan-94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1994
49,I.Q. ,1-Jan-94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1994
50,Star Wars ,1-Jan-77,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1977
51,Legends of the Fall ,1-Jan-94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1994
52,"Madness of King George, The ",1-Jan-94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994
53,Natural Born Killers ,1-Jan-94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1994
54,Outbreak ,1-Jan-95,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1995
55,"Professional, The ",1-Jan-94,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1994
56,Pulp Fiction ,1-Jan-94,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1994
57,Priest ,1-Jan-94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994
58,Quiz Show ,1-Jan-94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994
59,Three Colors: Red ,1-Jan-94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994
60,Three Colors: Blue ,1-Jan-93,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1993
61,Three Colors: White ,1-Jan-94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994
62,Stargate ,1-Jan-94,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1994
63,"Santa Clause, The ",1-Jan-94,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
64,"Shawshank Redemption, The ",1-Jan-94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994
65,What's Eating Gilbert Grape ,1-Jan-93,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1993
66,While You Were Sleeping ,1-Jan-95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1995
67,Ace Ventura: Pet Detective ,1-Jan-94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
68,"Crow, The ",1-Jan-94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1994
69,Forrest Gump ,1-Jan-94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1994
70,Four Weddings and a Funeral ,1-Jan-94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1994
71,"Lion King, The ",1-Jan-94,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1994
72,"Mask, The ",1-Jan-94,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1994
73,Maverick ,1-Jan-94,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1994
74,Faster Pussycat! Kill! Kill! ,1-Jan-65,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1965
75,Brother Minister: The Assassination of Malcolm X ,1-Jan-94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1994
76,Carlito's Way ,1-Jan-93,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1993
77,"Firm, The ",1-Jan-93,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1993
78,Free Willy ,1-Jan-93,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1993
79,"Fugitive, The ",1-Jan-93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1993
80,Hot Shots! Part Deux ,1-Jan-93,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1993
81,"Hudsucker Proxy, The ",1-Jan-94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1994
82,Jurassic Park ,1-Jan-93,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1993
83,Much Ado About Nothing ,1-Jan-93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1993
84,Robert A. Heinlein's The Puppet Masters ,1-Jan-94,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1994
85,"Ref, The ",1-Jan-94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
86,"Remains of the Day, The ",1-Jan-93,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1993
87,Searching for Bobby Fischer ,1-Jan-93,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1993
88,Sleepless in Seattle ,1-Jan-93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1993
89,Blade Runner ,1-Jan-82,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1982
90,So I Married an Axe Murderer ,1-Jan-93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1993
91,"Nightmare Before Christmas, The ",1-Jan-93,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1993
92,True Romance ,1-Jan-93,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1993
93,Welcome to the Dollhouse ,24-May-96,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1996
94,Home Alone ,1-Jan-90,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1990
95,Aladdin ,1-Jan-92,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1992
96,Terminator 2: Judgment Day ,1-Jan-91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1991
97,Dances with Wolves ,1-Jan-90,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1990
98,"Silence of the Lambs, The ",1-Jan-91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1991
99,Snow White and the Seven Dwarfs ,1-Jan-37,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1937
100,Fargo ,14-Feb-97,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1997
101,Heavy Metal ,8-Mar-81,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1981
102,"Aristocats, The ",1-Jan-70,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970
103,All Dogs Go to Heaven 2 ,29-Mar-96,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1996
104,Theodore Rex ,29-Mar-96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
105,Sgt. Bilko ,29-Mar-96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
106,Diabolique ,1-Jan-96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1996
107,Moll Flanders ,14-Jun-96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996
108,Kids in the Hall: Brain Candy ,12-Apr-96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
109,Mystery Science Theater 3000: The Movie ,19-Apr-96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1996
110,Operation Dumbo Drop ,1-Jan-95,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1995
111,"Truth About Cats & Dogs, The ",26-Apr-96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1996
112,Flipper ,10-May-96,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
113,"Horseman on the Roof, The (Hussard sur le toit, Le) ",19-Apr-96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996
114,Wallace & Gromit: The Best of Aardman Animation ,5-Apr-96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
115,"Haunted World of Edward D. Wood Jr., The ",26-Apr-96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1996
116,Cold Comfort Farm ,23-Apr-96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
117,"Rock, The ",7-Jun-96,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1996
118,Twister ,10-May-96,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1996
119,Maya Lin: A Strong Clear Vision ,1-Jan-94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1994
120,Striptease ,28-Jun-96,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1996
121,Independence Day (ID4) ,3-Jul-96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1996
122,"Cable Guy, The ",14-Jun-96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
123,"Frighteners, The ",19-Jul-96,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1996
124,Lone Star ,21-Jun-96,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1996
125,Phenomenon ,29-Jun-96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1996
126,"Spitfire Grill, The ",6-Sep-96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996
127,"Godfather, The ",1-Jan-72,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1972
128,Supercop ,26-Jul-96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1996
129,Bound ,4-Oct-96,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1996
130,Kansas City ,16-Aug-96,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1996
131,Breakfast at Tiffany's ,1-Jan-61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1961
132,"Wizard of Oz, The ",1-Jan-39,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1939
133,Gone with the Wind ,1-Jan-39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1939
134,Citizen Kane ,1-Jan-41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1941
135,2001: A Space Odyssey ,1-Jan-68,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1968
136,Mr. Smith Goes to Washington ,1-Jan-39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1939
137,Big Night ,20-Sep-96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996
138,D3: The Mighty Ducks ,4-Oct-96,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
139,"Love Bug, The ",1-Jan-69,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1969
140,Homeward Bound: The Incredible Journey ,1-Jan-93,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
141,"20,000 Leagues Under the Sea ",1-Jan-54,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1954
142,Bedknobs and Broomsticks ,1-Jan-71,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1971
143,"Sound of Music, The ",1-Jan-65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1965
144,Die Hard ,1-Jan-88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1988
145,"Lawnmower Man, The ",1-Jan-92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1992
146,Unhook the Stars ,30-Oct-96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996
147,"Long Kiss Goodnight, The ",5-Oct-96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1996
148,"Ghost and the Darkness, The ",11-Oct-96,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
149,Jude ,1-Nov-96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996
150,Swingers ,18-Oct-96,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1996
151,Willy Wonka and the Chocolate Factory ,1-Jan-71,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1971
152,Sleeper ,1-Jan-73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1973
153,"Fish Called Wanda, A ",1-Jan-88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1988
154,Monty Python's Life of Brian ,1-Jan-79,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1979
155,Dirty Dancing ,1-Jan-87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1987
156,Reservoir Dogs ,1-Jan-92,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1992
157,Platoon ,1-Jan-86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1986
158,Weekend at Bernie's ,1-Jan-89,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1989
159,Basic Instinct ,1-Jan-92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1992
160,Glengarry Glen Ross ,1-Jan-92,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1992
161,Top Gun ,1-Jan-86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1986
162,On Golden Pond ,1-Jan-81,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1981
163,"Return of the Pink Panther, The ",1-Jan-74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1974
164,"Abyss, The ",1-Jan-89,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1989
165,Jean de Florette ,1-Jan-86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1986
166,Manon of the Spring (Manon des sources) ,1-Jan-86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1986
167,Private Benjamin ,1-Jan-80,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1980
168,Monty Python and the Holy Grail ,1-Jan-74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1974
169,"Wrong Trousers, The ",1-Jan-93,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
170,Cinema Paradiso ,1-Jan-88,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1988
171,Delicatessen ,1-Jan-91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1991
172,"Empire Strikes Back, The ",1-Jan-80,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1980
173,"Princess Bride, The ",1-Jan-87,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1987
174,Raiders of the Lost Ark ,1-Jan-81,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981
175,Brazil ,1-Jan-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1985
176,Aliens ,1-Jan-86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1986
177,"Good, The Bad and The Ugly, The ",1-Jan-66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1966
178,12 Angry Men ,1-Jan-57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1957
179,"Clockwork Orange, A ",1-Jan-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1971
180,Apocalypse Now ,1-Jan-79,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1979
181,Return of the Jedi ,14-Mar-97,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1997
182,GoodFellas ,1-Jan-90,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1990
183,Alien ,1-Jan-79,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1979
184,Army of Darkness ,1-Jan-93,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1993
185,Psycho ,1-Jan-60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1960
186,"Blues Brothers, The ",1-Jan-80,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1980
187,"Godfather: Part II, The ",1-Jan-74,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1974
188,Full Metal Jacket ,1-Jan-87,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1987
189,"Grand Day Out, A ",1-Jan-92,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1992
190,Henry V ,1-Jan-89,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1989
191,Amadeus ,1-Jan-84,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1984
192,Raging Bull ,1-Jan-80,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1980
193,"Right Stuff, The ",1-Jan-83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1983
194,"Sting, The ",1-Jan-73,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1973
195,"Terminator, The ",1-Jan-84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1984
196,Dead Poets Society ,1-Jan-89,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1989
197,"Graduate, The ",1-Jan-67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1967
198,Nikita (La Femme Nikita) ,1-Jan-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1990
199,"Bridge on the River Kwai, The ",1-Jan-57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1957
200,"Shining, The ",1-Jan-80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1980
201,Evil Dead II ,1-Jan-87,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1987
202,Groundhog Day ,1-Jan-93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1993
203,Unforgiven ,1-Jan-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1992
204,Back to the Future ,1-Jan-85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1985
205,Patton ,1-Jan-70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1970
206,Akira ,1-Jan-88,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1988
207,Cyrano de Bergerac ,1-Jan-90,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1990
208,Young Frankenstein ,1-Jan-74,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1974
209,This Is Spinal Tap ,1-Jan-84,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1984
210,Indiana Jones and the Last Crusade ,1-Jan-89,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989
211,M*A*S*H ,1-Jan-70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1970
212,"Unbearable Lightness of Being, The ",1-Jan-88,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1988
213,"Room with a View, A ",1-Jan-86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1986
214,Pink Floyd - The Wall ,1-Jan-82,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1982
215,Field of Dreams ,1-Jan-89,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1989
216,When Harry Met Sally... ,1-Jan-89,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1989
217,Bram Stoker's Dracula ,1-Jan-92,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1992
218,Cape Fear ,1-Jan-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1991
219,"Nightmare on Elm Street, A ",1-Jan-84,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1984
220,"Mirror Has Two Faces, The ",15-Nov-96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1996
221,Breaking the Waves ,15-Nov-96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996
222,Star Trek: First Contact ,22-Nov-96,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1996
223,Sling Blade ,22-Nov-96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1996
